LotId,ExternalDealerId,Vin,StockNumber,Year,Make,Model,InternetPrice,ListPrice,InvoicePrice,ExteriorColor,InteriorColor,Transmission,Trim,Engine,Odometer,Cylinder,EngineFuelType,ModelNumber,BodyStyle,PhotoURL,Options,NewUsed
19003,327,1C3AN69L35X027217,X027217,2005,Chrysler,Crossfire,16497,0,0,,,Manual,Limited,Gas V6,11498,,,,2dr Cpe Limited,"http://images.webmakerx.net/InventoryPhotos/1C3A/N69L/35X/1C3AN69L35X027217/1C3AN69L35X027217_1(2).jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Windows; Traction Control,U
19009,329,1G1AZ55F267731929,P7731929,2006,Chevrolet,Cobalt,11983,0,0,RED,,A,LTZ,Gas 4-Cyl,31970,,,P,4dr Sdn LTZ,"http://images.webmakerx.net/InventoryPhotos/1G1A/Z55F/267/1G1AZ55F267731929/1G1AZ55F267731929_1(1).jpg",,U
6920,329,1HGFA16536L023927,PL023927,2006,Honda,Civic Sdn,15924,0,0,BEIGE,,A,LX,Gas I4,31097,,,P,LX AT,"http://images.webmakerx.net/InventoryPhotos/1HGF/A165/36L/1HGFA16536L023927/1HGFA16536L023927_1(1).jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19003,327,KM8SC73E45U025981,PU025981,2005,Hyundai,Santa Fe,15697,0,0,BLUE,,Automatic,GLS,Gas V6,18173,,,,4dr GLS 4WD 3.5L Auto,"http://images.webmakerx.net/InventoryPhotos/KM8S/C73E/45U/KM8SC73E45U025981/KM8SC73E45U025981_1.jpg",,U
5291,1058,1FMYU93183KD39626,MT8123A,2003,Ford,Escape,0,0,0,GRAY,GRAY,Automatic,XLT Popular 2,Gas V6,57409,6,,,4dr 103" WB XLT 4WD Popular 2,"http://images.webmakerx.net/InventoryPhotos/1FMY/U931/83K/1FMYU93183KD39626/1FMYU93183KD39626_1.jpg",Alarm; Am/Fm Stereo; Cd Changer; Cruise Control; Fog Lamps; Four Wheel Drive; Keyless Entry; Luggage Rack; Moonroof; Passenger Air Bag; Power Door Locks; Power Driver Seat; Power Mirrors; Power Seat; Power Windows; Privacy Glass; Driver Air Bag; Compact Disc; Compact Spare Tire; Child Safety Locks; A/C; 4-speed A/T; 4-wheel Abs; Adjustable Steering Wheel; Auxiliary Pwr Outlet; Driver Vanity Mirror; Gasoline Fuel; Pass-through Rear Seat; Passenger Vanity Mirror; Rear Seat Heat Ducts; Vehicle Anti-theft System; Solar-tinted Glass; V6 Cylinder Engine; Variable Speed Intermittent Wipers; Halogen Headlamps W/Delay; Rear 2-speed Wiper W/Washer; Chrome Grille W/Black Mesh Center; 16~0 Gallon Fuel Tank,U
5291,1058,1FTRX17W93NA75354,MU2333,2003,Ford,F-150,0,0,0,GREEN,TAN,Automatic,XL,Gas V6,65874,8,,,Supercab 139" XL,"http://images.webmakerx.net/InventoryPhotos/1FTR/X17W/93N/1FTRX17W93NA75354/1FTRX17W93NA75354_1.jpg",8 Cylinder Engine; Air Conditioning; Am/Fm Stereo; Bed Liner; Cassette; Cloth Upholstery; Cruise Control; Full Size Spare Tire; Over Head Console; Passenger Air Bag; Power Door Locks; Power Mirrors; Power Steering; Power Windows; Rear Wheel Drive; Driver Air Bag; Compact Disc; Passenger Air Bag On/Off Switch; 4-pin Trailer Tow Wiring; 4-wheel Abs; 4-wheel Disc Brakes; Auxiliary Pwr Outlet; Chrome Front/Rear Step Bumper; Fail-safe Cooling Feature; Fourth Passenger Door; Gas-pressurized Shock Absorbers; Gasoline Fuel; Third Passenger Door; Vehicle Anti-theft System; Lower Anchors And Tethers For Children (latch),U
19004,327,1LNHM87A52Y622372,Y622372,2002,Lincoln,LS,8897,0,0,BLACK,,,w/Base Pkg,Gas V8,100907,,,,4dr Sdn V8 Auto w/Base Pkg,"http://images.webmakerx.net/InventoryPhotos/1LNH/M87A/52Y/1LNHM87A52Y622372/1LNHM87A52Y622372_1(2).jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Tilt Wheel,U
19004,327,1FTCR14X2RPB09287,PB09287,1994,Ford,Ranger,1897,0,0,,,,XL,,165524,,,,Supercab 125" WB XL,"http://images.webmakerx.net/InventoryPhotos/1FTC/R14X/2RP/1FTCR14X2RPB09287/1FTCR14X2RPB09287_1(2).jpg",,U
19003,327,1G1YY26U365106772,5106772,2006,Chevrolet,Corvette,35797,0,0,BLACK,,,Basic,Gas V8,27017,,,,2dr Cpe,"http://images.webmakerx.net/InventoryPhotos/1G1Y/Y26U/365/1G1YY26U365106772/1G1YY26U365106772_1(2).jpg",,U
19004,327,1N4DL01D01C140016,C140016,2001,Nissan,Altima,3597,0,0,WHITE,,,XE,Gas I4,91377,,,,4dr Sdn XE Manual,"http://images.webmakerx.net/InventoryPhotos/1N4D/L01D/01C/1N4DL01D01C140016/1N4DL01D01C140016_1(2).jpg",,U
